model,feature_selection,n_features,train_time_sec,accuracy,precision,recall,f1,auc
LogisticRegression,no,33204,8.487334966659546,0.8874727964711909,0.8837967298134409,0.6512951855194012,0.7499388790416234,0.9048815285768519
LogisticRegression,yes,12208,111.86609625816345,0.8877100215565403,0.8854104605607611,0.6508041828122512,0.750193124020039,0.9049086849137673
DecisionTree,no,33204,50.067655086517334,0.8622169199932614,0.7646979382371477,0.6762699718668719,0.7177706728263779,0.805340590801914
DecisionTree,yes,12208,150.51555395126343,0.8628976528468729,0.767322704120076,0.675699347099103,0.7186022552464824,0.8056014492311355
RandomForest,no,33204,111.85277247428894,0.8846089052234213,0.8841762726821466,0.6382106268910239,0.7413236325520813,0.8919155631247624
RandomForest,yes,12208,180.19274520874023,0.8853721511501979,0.8856922540253732,0.6401746377196241,0.7431811004213429,0.8924625374911018
LightGBM,no,33204,6.50803279876709,0.8902507366010802,0.9056825823806322,0.6433860608312543,0.7523276022593259,0.9126456349208898
LightGBM,yes,12208,108.23846960067749,0.8902507366010802,0.9056825823806322,0.6433860608312543,0.7523276022593259,0.9126456349208898
XGBoost,no,33204,11.299342393875122,0.8898725516824072,0.914472677177407,0.634242794203514,0.7490048581727002,0.9107142064378849
XGBoost,yes,12208,110.94890594482422,0.8897453440279445,0.9126737468301332,0.6352115292743776,0.7490747478541192,0.911034471463132
